Variable,Description,Prompt,Form,Data_Type,Permissible_Values,Home_Classification,Primary_Model_Use,Reason
Internal ID,Identifier for the participant to whom the rest of the data belongs,,Unknown,String,,Uncertain,False,Collection timing/form not identified
Cohort,Participant's Cohort Group of 1; 2; 3; 4; 5,,Unknown,Categorical,"1, 1; 2, 2; 3, 3; 4, 4; 5, 5",Uncertain,False,Collection timing/form not identified
PCR Test Positive,Participant's PCR test results,,Unknown,Categorical,"0, No; 1, Yes",Not available at home,False,PCR laboratory result; target only
PCR Test Date_DEID,Number of days from day of Consent when PCR Test Occurred,,Unknown,Integer,De-identified Value in Days,Not available at home,False,PCR outcome timing
Consent Submission Date_DEID,This is considered as day 0 for all DEID dates,,Unknown,Integer,De-identified Value in Days,Uncertain,False,Collection timing/form not identified
29789-consent_18yrs,Eligibility age of 18 or older,How old are you?,Consent,Categorical,"1, I am 18 or older; 2, I am under the age of 18",Not available at home,False,Excluded due to timing/form: Consent
29790-consent_applies,COVID related eligibility,Which of the following statements below best applies to you?,Consent,Categorical,"1, I know I have recently been exposed to COVID-19 (in the last 14 days) or I am COVID Positive; 2, I have COVID-19 symptoms (things like sore throat, fever, cough, loss of smell or taste) or I am COVID Positive; 3, I have not been exposed to COVID-19 and I do not have any COVID-19 symptoms; 4, None of these descriptions apply to me",Not available at home,False,Excluded due to timing/form: Consent
32985-consent_applies_cohort4,(Cohort 4 only) Demographics eligibility,What is your race?,Consent,Categorical,"1, White; 2, Black or African American; 3, Asian; 4, American Indian or Alaska Native; 5, Other; 6, None of the Above; 7, Prefer not to answer",Not available at home,False,Excluded due to timing/form: Consent
29791-consent_english,English eligibility,Are you able to provide written consent in English?,Consent,Categorical,"1, Yes; 2, No",Not available at home,False,Excluded due to timing/form: Consent
29792-consent_covid+,COVID related testing eligibility,Have you tested Positive for COVID-19 in the last 30 days?,Consent,Categorical,"1, Yes; 2, No",Not available at home,False,Excluded due to timing/form: Consent
29793-consent_location,Site visit eligibility,"Will you be within the greater Richmond, VA area for the next 10 days?",Consent,Categorical,"1, Yes; 2, No",Not available at home,False,Excluded due to timing/form: Consent
29794-consent_noeligble,"Ineligible, research follow-up opt-in",Based on the responses you have provided you are not eligible to be in this study. Would you like to be contacted for future research studies?,Consent,Categorical,"1, Please contact me for future research studies.; 2, Please do not contact me for future research studies.",Not available at home,False,Excluded due to timing/form: Consent
32795-future_researchName,Participant Name for future research (not included for deidentification purposes),"If you would like to participate in furture research activiies, please provide your name:",Consent,Text,,Not available at home,False,Excluded due to timing/form: Consent
32797-future_researchPhone,Participant Phone number for future research (not included for deidentification purposes),"If you would like to participate in furture research activiies, please provide your phone number:",Consent,Text,,Not available at home,False,Excluded due to timing/form: Consent
32799-future_researchEmail,Participant Email for future research (not included for deidentification purposes),"If you would like to participate in furture research activiies, please provide your email address:",Consent,Text,,Not available at home,False,Excluded due to timing/form: Consent
34683-consent_invited,Invited by Research Staff member,Have you been invited by study staff to participate in an in-person observation appointment?,Consent,Categorical,"1, Yes; 2, No",Not available at home,False,Excluded due to timing/form: Consent
